"symbol","date","volatility"
"A","2007-02-01",0.0150461706063642
"A","2007-03-01",0.0113077063055504
"A","2007-04-01",0.0089567882132867
"A","2007-05-01",0.0182635737116976
"A","2007-06-01",0.0108262994752437
"A","2007-07-01",0.0107990581380207
"A","2007-08-01",0.0307125037204485
"A","2007-09-01",0.00914035580950821
"A","2007-10-01",0.013100417647354
"A","2007-11-01",0.0255849188702236
"A","2007-12-01",0.0155978961166888
"A","2008-01-01",0.0205221101853122
"A","2008-02-01",0.0182422112180307
"A","2008-03-01",0.0171983996750277
"A","2008-04-01",0.0200126214201863
"A","2008-05-01",0.0207600037282105
"A","2008-06-01",0.0136770904561704
"A","2008-07-01",0.0134603506851106
"A","2008-08-01",0.0137175284308124
"A","2008-09-01",0.0304691386619513
"A","2008-10-01",0.0583243068858806
"A","2008-11-01",0.0553013655115163
"A","2008-12-01",0.0302347013693425
"A","2009-01-01",0.0294169667701877
"A","2009-02-01",0.0332076216715609
"A","2009-03-01",0.0446488249081155
"A","2009-04-01",0.0253956318865007
"A","2009-05-01",0.0273864728308952
"A","2009-06-01",0.0212439949111355
"A","2009-07-01",0.0214587908476878
"A","2009-08-01",0.0210422337734583
"A","2009-09-01",0.0135705917454402
"A","2009-10-01",0.0180326338862193
"A","2009-11-01",0.0165926990455023
"A","2009-12-01",0.00935982337024496
"A","2010-01-01",0.0141373601904875
"A","2010-02-01",0.0116191521815604
"A","2010-03-01",0.00920458505269833
"A","2010-04-01",0.0143561982583127
"A","2010-05-01",0.0315921101892882
"A","2010-06-01",0.0233844892099393
"A","2010-07-01",0.0197935207274072
"A","2010-08-01",0.0264452406801815
"A","2010-09-01",0.0182091534480908
"A","2010-10-01",0.0127437288205768
"A","2010-11-01",0.0163687226249271
"A","2010-12-01",0.0118399752344111
"A","2011-01-01",0.0163103868437893
"A","2011-02-01",0.0256213402792926
"A","2011-03-01",0.0251896426434789
"A","2011-04-01",0.0158537652144783
"A","2011-05-01",0.0157861701727829
"A","2011-06-01",0.0190205408288006
"A","2011-07-01",0.0202574055965742
"A","2011-08-01",0.051125638616121
"A","2011-09-01",0.0366727866235141
"A","2011-10-01",0.0488938435068839
"A","2011-11-01",0.033081009688099
"A","2011-12-01",0.0240299231438394
"A","2012-01-01",0.0202636883717071
"A","2012-02-01",0.01505239505908
"A","2012-03-01",0.0163928502365693
"A","2012-04-01",0.0202135772791727
"A","2012-05-01",0.0182572409421855
"A","2012-06-01",0.0238701824193024
"A","2012-07-01",0.018240113062672
"A","2012-08-01",0.0213243128876973
"A","2012-09-01",0.013802919481858
"A","2012-10-01",0.0131110243939132
"A","2012-11-01",0.0185475172488391
"A","2012-12-01",0.0158949241891111
"A","2013-01-01",0.0111350377651714
"A","2013-02-01",0.0164004417597092
"A","2013-03-01",0.010914109901588
"A","2013-04-01",0.0180581614712875
"A","2013-05-01",0.0131898368883075
"A","2013-06-01",0.0133020211257093
"A","2013-07-01",0.0107086987968772
"A","2013-08-01",0.0104123817083404
"A","2013-09-01",0.0110342290402582
"A","2013-10-01",0.01254704459064
"A","2013-11-01",0.0205995428839205
"A","2013-12-01",0.010348524306293
"A","2014-01-01",0.0143980973610717
"A","2014-02-01",0.0244053447579499
"A","2014-03-01",0.0119262376068005
"A","2014-04-01",0.0133627161963509
"A","2014-05-01",0.0105871659304152
"A","2014-06-01",0.00744090961237483
"A","2014-07-01",0.0116524444609848
"A","2014-08-01",0.0112500159680937
"A","2014-09-01",0.010297690182113
"A","2014-10-01",0.0162589284433541
"A","2014-11-01",0.0131222585689894
"A","2014-12-01",0.0157929308753765
"A","2015-01-01",0.0170476778130324
"A","2015-02-01",0.0121176879662489
"A","2015-03-01",0.0121227924780707
"A","2015-04-01",0.00928288123316631
"A","2015-05-01",0.0100789805737061
"A","2015-06-01",0.0101773609697224
"A","2015-07-01",0.0127623825824332
"A","2015-08-01",0.0181572807949136
"A","2015-09-01",0.0181842184107067
"A","2015-10-01",0.0130412132946867
"A","2015-11-01",0.0143891429545681
"A","2015-12-01",0.0136925667740358
